Rank,company,revenue,employee,URL
124,Thermo Fisher Scientific,"$24,358.00 ","69,200",https://www.indeed.com/cmp/Thermo-Fisher-Scientific
125,US Foods Holding,"$24,175.00 ","24,900",https://www.indeed.com/cmp/US-Foods
126,Duke Energy,"$24,116.00 ","30,083",https://www.indeed.com/cmp/Duke-Energy
127,Halliburton,"$23,995.00 ","60,000",https://www.indeed.com/cmp/Halliburton
128,Cummins,"$23,771.00 ","62,610",https://www.indeed.com/cmp/Cummins
129,Amgen,"$23,747.00 ","21,500",https://www.indeed.com/cmp/Amgen
130,Paccar,"$23,495.70 ","28,000",https://www.indeed.com/cmp/Paccar-Inc.
131,Southern,"$23,495.00 ","30,286",https://www.indeed.com/cmp/Southern-Company
132,CenturyLink,"$23,443.00 ","45,000",https://www.indeed.com/cmp/Centurylink
133,International Paper,"$23,306.00 ","53,000",https://www.indeed.com/cmp/International-Paper
134,Union Pacific,"$22,832.00 ","41,967",https://www.indeed.com/cmp/Union-Pacific
135,Dollar Tree,"$22,823.30 ","119,650",https://www.indeed.com/cmp/Dollar-Tree
136,Penske Automotive Group,"$22,785.10 ","27,000",https://www.indeed.com/cmp/Penske
137,Qualcomm,"$22,732.00 ","35,400",https://www.indeed.com/cmp/Qualcomm
138,Bristol-Myers Squibb,"$22,561.00 ","23,300",https://www.indeed.com/cmp/Bristol--myers-Squibb
139,Gilead Sciences,"$22,127.00 ","11,000",https://www.indeed.com/cmp/Gilead-Sciences
140,Jabil,"$22,095.40 ","199,000",https://www.indeed.com/cmp/Jabil-Circuit
141,ManpowerGroup,"$21,991.20 ","30,000",https://www.indeed.com/cmp/Manpower
142,Southwest Airlines,"$21,965.00 ","58,803",https://www.indeed.com/cmp/Southwest-Airlines
143,Aflac,"$21,758.00 ","11,390",https://www.indeed.com/cmp/AFLAC
144,Tesla,"$21,461.30 ","48,817",https://www.indeed.com/cmp/Tesla
145,AutoNation,"$21,412.80 ","26,000",https://www.indeed.com/cmp/Autonation
146,CBRE Group,"$21,340.10 ","90,000",https://www.indeed.com/cmp/Cbre
147,Lear,"$21,148.50 ","169,000",https://www.indeed.com/cmp/Lear-Corporation
148,Whirlpool,"$21,037.00 ","92,000",https://www.indeed.com/cmp/Whirlpool-Corporation
149,McDonald's,"$21,025.20 ","210,000",https://www.indeed.com/cmp/McDonald's
150,Broadcom,"$20,848.00 ","15,000",https://www.indeed.com/cmp/Broadcom
151,Marriott International,"$20,758.00 ","176,000","https://www.indeed.com/cmp/Marriott-International,-Inc."
152,Western Digital,"$20,647.00 ","71,600",https://www.indeed.com/cmp/Western-Digital
153,Visa,"$20,609.00 ","17,000",https://www.indeed.com/cmp/Visa
154,Lennar,"$20,571.60 ","11,626",https://www.indeed.com/cmp/Lennar-Corporation
155,WellCare Health Plans,"$20,414.10 ","12,000",https://www.indeed.com/cmp/Wellcare
156,Kohl's,"$20,229.00 ","81,500",https://www.indeed.com/cmp/Kohl's
157,AECOM,"$20,155.50 ","87,000",https://www.indeed.com/cmp/AECOM
158,Synnex,"$20,053.80 ","231,600",https://www.indeed.com/cmp/Synnex-Corporation
159,PNC Financial Services,"$19,993.00 ","51,996",https://www.indeed.com/cmp/Pnc-Financial-Services-Group
